trans_id	gene_id
Nippo_chrI.g34.t1	Nippo_chrI.g34
Nippo_chrI.g35.t1	Nippo_chrI.g35
Nippo_chrI.g36.t1	Nippo_chrI.g36
Nippo_chrI.g36.t2	Nippo_chrI.g36
Nippo_chrI.g37.t1	Nippo_chrI.g37
Nippo_chrI.g37.t2	Nippo_chrI.g37
Nippo_chrI.g38.t1	Nippo_chrI.g38
Nippo_chrI.g39.t1	Nippo_chrI.g39
Nippo_chrI.g40.t1	Nippo_chrI.g40
Nippo_chrI.g40.t2	Nippo_chrI.g40
Nippo_chrI.g40.t3	Nippo_chrI.g40
Nippo_chrI.g41.t1	Nippo_chrI.g41
Nippo_chrI.g41.t2	Nippo_chrI.g41
Nippo_chrI.g41.t3	Nippo_chrI.g41
Nippo_chrI.g42.t1	Nippo_chrI.g42
Nippo_chrI.g43.t1	Nippo_chrI.g43
Nippo_chrI.g44.t1	Nippo_chrI.g44
Nippo_chrI.g44.t2	Nippo_chrI.g44
Nippo_chrI.g44.t3	Nippo_chrI.g44
Nippo_chrI.g45.t1	Nippo_chrI.g45
Nippo_chrI.g45.t2	Nippo_chrI.g45
Nippo_chrI.g45.t3	Nippo_chrI.g45
Nippo_chrI.g46.t1	Nippo_chrI.g46
Nippo_chrI.g46.t2	Nippo_chrI.g46
Nippo_chrI.g46.t3	Nippo_chrI.g46
Nippo_chrI.g47.t1	Nippo_chrI.g47
Nippo_chrI.g47.t2	Nippo_chrI.g47
Nippo_chrI.g48.t1	Nippo_chrI.g48
Nippo_chrI.g49.t1	Nippo_chrI.g49
Nippo_chrI.g50.t1	Nippo_chrI.g50
Nippo_chrI.g51.t2	Nippo_chrI.g51
Nippo_chrI.g51.t1	Nippo_chrI.g51
Nippo_chrI.g51.t3	Nippo_chrI.g51
Nippo_chrI.g52.t1	Nippo_chrI.g52
Nippo_chrI.g53.t1	Nippo_chrI.g53
Nippo_chrI.g54.t2	Nippo_chrI.g54
Nippo_chrI.g54.t1	Nippo_chrI.g54
Nippo_chrI.g55.t1	Nippo_chrI.g55
Nippo_chrI.g56.t1	Nippo_chrI.g56
Nippo_chrI.g57.t2	Nippo_chrI.g57
Nippo_chrI.g57.t1	Nippo_chrI.g57
Nippo_chrI.g57.t3	Nippo_chrI.g57
Nippo_chrI.g58.t1	Nippo_chrI.g58
Nippo_chrI.g59.t1	Nippo_chrI.g59
Nippo_chrI.g60.t1	Nippo_chrI.g60
Nippo_chrI.g61.t1	Nippo_chrI.g61
Nippo_chrI.g61.t2	Nippo_chrI.g61
Nippo_chrI.g62.t1	Nippo_chrI.g62
Nippo_chrI.g62.t2	Nippo_chrI.g62
Nippo_chrI.g62.t3	Nippo_chrI.g62
Nippo_chrI.g63.t1	Nippo_chrI.g63
Nippo_chrI.g63.t2	Nippo_chrI.g63
Nippo_chrI.g64.t1	Nippo_chrI.g64
Nippo_chrI.g65.t1	Nippo_chrI.g65
Nippo_chrI.g65.t2	Nippo_chrI.g65
Nippo_chrI.g66.t1	Nippo_chrI.g66
Nippo_chrI.g67.t1	Nippo_chrI.g67
Nippo_chrI.g67.t3	Nippo_chrI.g67
Nippo_chrI.g67.t4	Nippo_chrI.g67
Nippo_chrI.g67.t5	Nippo_chrI.g67
Nippo_chrI.g67.t2	Nippo_chrI.g67
Nippo_chrI.g68.t1	Nippo_chrI.g68
Nippo_chrI.g69.t2	Nippo_chrI.g69
Nippo_chrI.g69.t1	Nippo_chrI.g69
Nippo_chrI.g70.t1	Nippo_chrI.g70
Nippo_chrI.g71.t1	Nippo_chrI.g71
Nippo_chrI.g72.t1	Nippo_chrI.g72
Nippo_chrI.g72.t2	Nippo_chrI.g72
Nippo_chrI.g73.t1	Nippo_chrI.g73
Nippo_chrI.g73.t3	Nippo_chrI.g73
Nippo_chrI.g73.t2	Nippo_chrI.g73
Nippo_chrI.g74.t2	Nippo_chrI.g74
Nippo_chrI.g74.t1	Nippo_chrI.g74
Nippo_chrI.g75.t1	Nippo_chrI.g75
Nippo_chrI.g76.t1	Nippo_chrI.g76
Nippo_chrI.g77.t1	Nippo_chrI.g77
Nippo_chrI.g78.t3	Nippo_chrI.g78
Nippo_chrI.g78.t2	Nippo_chrI.g78
Nippo_chrI.g78.t1	Nippo_chrI.g78
Nippo_chrI.g78.t4	Nippo_chrI.g78
Nippo_chrI.g79.t4	Nippo_chrI.g79
Nippo_chrI.g79.t2	Nippo_chrI.g79
Nippo_chrI.g79.t3	Nippo_chrI.g79
Nippo_chrI.g79.t1	Nippo_chrI.g79
Nippo_chrI.g79.t5	Nippo_chrI.g79
Nippo_chrI.g80.t2	Nippo_chrI.g80
Nippo_chrI.g80.t1	Nippo_chrI.g80
Nippo_chrI.g81.t1	Nippo_chrI.g81
Nippo_chrI.g82.t1	Nippo_chrI.g82
Nippo_chrI.g83.t1	Nippo_chrI.g83
Nippo_chrI.g84.t1	Nippo_chrI.g84
Nippo_chrI.g84.t2	Nippo_chrI.g84
Nippo_chrI.g85.t1	Nippo_chrI.g85
Nippo_chrI.g85.t2	Nippo_chrI.g85
Nippo_chrI.g86.t1	Nippo_chrI.g86
Nippo_chrI.g87.t2	Nippo_chrI.g87
Nippo_chrI.g87.t1	Nippo_chrI.g87
Nippo_chrI.g87.t3	Nippo_chrI.g87
Nippo_chrI.g88.t1	Nippo_chrI.g88
Nippo_chrI.g89.t1	Nippo_chrI.g89
Nippo_chrI.g89.t2	Nippo_chrI.g89
Nippo_chrI.g90.t1	Nippo_chrI.g90
Nippo_chrI.g91.t1	Nippo_chrI.g91
Nippo_chrI.g92.t2	Nippo_chrI.g92
Nippo_chrI.g92.t1	Nippo_chrI.g92
Nippo_chrI.g93.t3	Nippo_chrI.g93
Nippo_chrI.g93.t1	Nippo_chrI.g93
Nippo_chrI.g93.t2	Nippo_chrI.g93
Nippo_chrI.g94.t1	Nippo_chrI.g94
Nippo_chrI.g95.t1	Nippo_chrI.g95
Nippo_chrI.g95.t2	Nippo_chrI.g95
Nippo_chrI.g96.t1	Nippo_chrI.g96
Nippo_chrI.g97.t1	Nippo_chrI.g97
Nippo_chrI.g98.t1	Nippo_chrI.g98
Nippo_chrI.g99.t1	Nippo_chrI.g99
Nippo_chrI.g100.t2	Nippo_chrI.g100
Nippo_chrI.g100.t1	Nippo_chrI.g100
Nippo_chrI.g101.t1	Nippo_chrI.g101
Nippo_chrI.g101.t2	Nippo_chrI.g101
Nippo_chrI.g102.t2	Nippo_chrI.g102
Nippo_chrI.g102.t1	Nippo_chrI.g102
Nippo_chrI.g103.t1	Nippo_chrI.g103
Nippo_chrI.g103.t2	Nippo_chrI.g103
Nippo_chrI.g104.t1	Nippo_chrI.g104
Nippo_chrI.g105.t1	Nippo_chrI.g105
Nippo_chrI.g105.t2	Nippo_chrI.g105
Nippo_chrI.g106.t3	Nippo_chrI.g106
Nippo_chrI.g106.t1	Nippo_chrI.g106
Nippo_chrI.g106.t2	Nippo_chrI.g106
Nippo_chrI.g107.t1	Nippo_chrI.g107
Nippo_chrI.g108.t1	Nippo_chrI.g108
Nippo_chrI.g108.t2	Nippo_chrI.g108
Nippo_chrI.g109.t2	Nippo_chrI.g109
Nippo_chrI.g109.t1	Nippo_chrI.g109
Nippo_chrI.g110.t1	Nippo_chrI.g110
Nippo_chrI.g111.t1	Nippo_chrI.g111
Nippo_chrI.g112.t1	Nippo_chrI.g112
Nippo_chrI.g113.t1	Nippo_chrI.g113
Nippo_chrI.g114.t2	Nippo_chrI.g114
Nippo_chrI.g114.t1	Nippo_chrI.g114
Nippo_chrI.g114.t3	Nippo_chrI.g114
Nippo_chrI.g114.t4	Nippo_chrI.g114
Nippo_chrI.g115.t1	Nippo_chrI.g115
Nippo_chrI.g116.t1	Nippo_chrI.g116
Nippo_chrI.g116.t2	Nippo_chrI.g116
Nippo_chrI.g117.t1	Nippo_chrI.g117
Nippo_chrI.g117.t5	Nippo_chrI.g117
Nippo_chrI.g117.t2	Nippo_chrI.g117
Nippo_chrI.g117.t3	Nippo_chrI.g117
Nippo_chrI.g117.t4	Nippo_chrI.g117
Nippo_chrI.g118.t1	Nippo_chrI.g118
Nippo_chrI.g119.t2	Nippo_chrI.g119
Nippo_chrI.g119.t1	Nippo_chrI.g119
Nippo_chrI.g120.t1	Nippo_chrI.g120
Nippo_chrI.g121.t1	Nippo_chrI.g121
Nippo_chrI.g121.t2	Nippo_chrI.g121
Nippo_chrI.g122.t1	Nippo_chrI.g122
Nippo_chrI.g123.t1	Nippo_chrI.g123
Nippo_chrI.g124.t1	Nippo_chrI.g124
Nippo_chrI.g125.t1	Nippo_chrI.g125
Nippo_chrI.g126.t1	Nippo_chrI.g126
Nippo_chrI.g126.t2	Nippo_chrI.g126
Nippo_chrI.g127.t1	Nippo_chrI.g127
Nippo_chrI.g128.t1	Nippo_chrI.g128
Nippo_chrI.g129.t1	Nippo_chrI.g129
Nippo_chrI.g130.t1	Nippo_chrI.g130
Nippo_chrI.g130.t2	Nippo_chrI.g130
Nippo_chrI.g131.t1	Nippo_chrI.g131
Nippo_chrI.g132.t2	Nippo_chrI.g132
Nippo_chrI.g132.t1	Nippo_chrI.g132
Nippo_chrI.g132.t3	Nippo_chrI.g132
Nippo_chrI.g133.t1	Nippo_chrI.g133
Nippo_chrI.g134.t1	Nippo_chrI.g134
Nippo_chrI.g135.t1	Nippo_chrI.g135
Nippo_chrI.g135.t3	Nippo_chrI.g135
Nippo_chrI.g136.t1	Nippo_chrI.g136
Nippo_chrI.g135.t2	Nippo_chrI.g135
Nippo_chrI.g137.t2	Nippo_chrI.g137
Nippo_chrI.g137.t3	Nippo_chrI.g137
Nippo_chrI.g137.t1	Nippo_chrI.g137
Nippo_chrI.g137.t4	Nippo_chrI.g137
Nippo_chrI.g137.t5	Nippo_chrI.g137
Nippo_chrI.g138.t1	Nippo_chrI.g138
Nippo_chrI.g138.t2	Nippo_chrI.g138
Nippo_chrI.g139.t1	Nippo_chrI.g139
Nippo_chrI.g139.t2	Nippo_chrI.g139
Nippo_chrI.g139.t3	Nippo_chrI.g139
Nippo_chrI.g140.t2	Nippo_chrI.g140
Nippo_chrI.g140.t1	Nippo_chrI.g140
Nippo_chrI.g140.t3	Nippo_chrI.g140
Nippo_chrI.g141.t1	Nippo_chrI.g141
Nippo_chrI.g141.t3	Nippo_chrI.g141
Nippo_chrI.g142.t1	Nippo_chrI.g142
Nippo_chrI.g141.t2	Nippo_chrI.g141
Nippo_chrI.g143.t1	Nippo_chrI.g143
Nippo_chrI.g144.t1	Nippo_chrI.g144
Nippo_chrI.g145.t1	Nippo_chrI.g145
Nippo_chrI.g146.t2	Nippo_chrI.g146
Nippo_chrI.g146.t1	Nippo_chrI.g146
Nippo_chrI.g147.t2	Nippo_chrI.g147
Nippo_chrI.g147.t1	Nippo_chrI.g147
Nippo_chrI.g148.t1	Nippo_chrI.g148
Nippo_chrI.g148.t2	Nippo_chrI.g148
Nippo_chrI.g149.t1	Nippo_chrI.g149
Nippo_chrI.g150.t2	Nippo_chrI.g150
Nippo_chrI.g150.t1	Nippo_chrI.g150
Nippo_chrI.g150.t3	Nippo_chrI.g150
Nippo_chrI.g151.t1	Nippo_chrI.g151
Nippo_chrI.g152.t1	Nippo_chrI.g152
Nippo_chrI.g153.t3	Nippo_chrI.g153
Nippo_chrI.g154.t1	Nippo_chrI.g154
Nippo_chrI.g153.t2	Nippo_chrI.g153
Nippo_chrI.g153.t1	Nippo_chrI.g153
Nippo_chrI.g155.t1	Nippo_chrI.g155
Nippo_chrI.g155.t3	Nippo_chrI.g155
Nippo_chrI.g156.t1	Nippo_chrI.g156
Nippo_chrI.g155.t2	Nippo_chrI.g155
Nippo_chrI.g157.t1	Nippo_chrI.g157
Nippo_chrI.g157.t2	Nippo_chrI.g157
Nippo_chrI.g158.t1	Nippo_chrI.g158
Nippo_chrI.g158.t2	Nippo_chrI.g158
Nippo_chrI.g159.t1	Nippo_chrI.g159
Nippo_chrI.g160.t2	Nippo_chrI.g160
Nippo_chrI.g160.t1	Nippo_chrI.g160
Nippo_chrI.g161.t1	Nippo_chrI.g161
Nippo_chrI.g161.t2	Nippo_chrI.g161
Nippo_chrI.g162.t1	Nippo_chrI.g162
Nippo_chrI.g163.t2	Nippo_chrI.g163
Nippo_chrI.g163.t1	Nippo_chrI.g163
Nippo_chrI.g164.t1	Nippo_chrI.g164
Nippo_chrI.g165.t1	Nippo_chrI.g165
Nippo_chrI.g166.t1	Nippo_chrI.g166
Nippo_chrI.g167.t1	Nippo_chrI.g167
Nippo_chrI.g167.t2	Nippo_chrI.g167
Nippo_chrI.g168.t1	Nippo_chrI.g168
Nippo_chrI.g168.t3	Nippo_chrI.g168
Nippo_chrI.g169.t1	Nippo_chrI.g169
Nippo_chrI.g168.t2	Nippo_chrI.g168
Nippo_chrI.g170.t1	Nippo_chrI.g170
Nippo_chrI.g171.t1	Nippo_chrI.g171
Nippo_chrI.g171.t2	Nippo_chrI.g171
Nippo_chrI.g172.t1	Nippo_chrI.g172
Nippo_chrI.g173.t2	Nippo_chrI.g173
Nippo_chrI.g173.t1	Nippo_chrI.g173
Nippo_chrI.g173.t3	Nippo_chrI.g173
Nippo_chrI.g174.t2	Nippo_chrI.g174
Nippo_chrI.g174.t1	Nippo_chrI.g174
Nippo_chrI.g175.t1	Nippo_chrI.g175
Nippo_chrI.g176.t1	Nippo_chrI.g176
Nippo_chrI.g177.t1	Nippo_chrI.g177
Nippo_chrI.g178.t2	Nippo_chrI.g178
Nippo_chrI.g178.t1	Nippo_chrI.g178
Nippo_chrI.g178.t3	Nippo_chrI.g178
Nippo_chrI.g179.t1	Nippo_chrI.g179
Nippo_chrI.g180.t1	Nippo_chrI.g180
Nippo_chrI.g181.t1	Nippo_chrI.g181
Nippo_chrI.g182.t1	Nippo_chrI.g182
Nippo_chrI.g183.t1	Nippo_chrI.g183
Nippo_chrI.g183.t2	Nippo_chrI.g183
Nippo_chrI.g183.t3	Nippo_chrI.g183
Nippo_chrI.g184.t1	Nippo_chrI.g184
Nippo_chrI.g185.t1	Nippo_chrI.g185
Nippo_chrI.g186.t1	Nippo_chrI.g186
Nippo_chrI.g187.t1	Nippo_chrI.g187
Nippo_chrI.g188.t1	Nippo_chrI.g188
Nippo_chrI.g188.t2	Nippo_chrI.g188
Nippo_chrI.g189.t1	Nippo_chrI.g189
Nippo_chrI.g190.t1	Nippo_chrI.g190
Nippo_chrI.g191.t1	Nippo_chrI.g191
Nippo_chrI.g192.t1	Nippo_chrI.g192
Nippo_chrI.g193.t1	Nippo_chrI.g193
Nippo_chrI.g194.t1	Nippo_chrI.g194
Nippo_chrI.g194.t2	Nippo_chrI.g194
Nippo_chrI.g195.t1	Nippo_chrI.g195
Nippo_chrI.g195.t2	Nippo_chrI.g195
Nippo_chrI.g195.t3	Nippo_chrI.g195
Nippo_chrI.g196.t1	Nippo_chrI.g196
Nippo_chrI.g197.t1	Nippo_chrI.g197
Nippo_chrI.g198.t2	Nippo_chrI.g198
Nippo_chrI.g198.t1	Nippo_chrI.g198
Nippo_chrI.g199.t1	Nippo_chrI.g199
Nippo_chrI.g199.t2	Nippo_chrI.g199
Nippo_chrI.g200.t1	Nippo_chrI.g200
Nippo_chrI.g200.t2	Nippo_chrI.g200
Nippo_chrI.g201.t1	Nippo_chrI.g201
Nippo_chrI.g201.t2	Nippo_chrI.g201
Nippo_chrI.g202.t1	Nippo_chrI.g202
Nippo_chrI.g202.t2	Nippo_chrI.g202
Nippo_chrI.g203.t2	Nippo_chrI.g203
Nippo_chrI.g203.t1	Nippo_chrI.g203
Nippo_chrI.g204.t1	Nippo_chrI.g204
Nippo_chrI.g205.t1	Nippo_chrI.g205
Nippo_chrI.g206.t1	Nippo_chrI.g206
Nippo_chrI.g207.t2	Nippo_chrI.g207
Nippo_chrI.g207.t1	Nippo_chrI.g207
Nippo_chrI.g207.t3	Nippo_chrI.g207
Nippo_chrI.g208.t1	Nippo_chrI.g208
Nippo_chrI.g208.t2	Nippo_chrI.g208
Nippo_chrI.g209.t1	Nippo_chrI.g209
Nippo_chrI.g210.t1	Nippo_chrI.g210
Nippo_chrI.g211.t1	Nippo_chrI.g211
Nippo_chrI.g212.t1	Nippo_chrI.g212
Nippo_chrI.g213.t1	Nippo_chrI.g213
Nippo_chrI.g214.t1	Nippo_chrI.g214
Nippo_chrI.g215.t1	Nippo_chrI.g215
Nippo_chrI.g216.t1	Nippo_chrI.g216
Nippo_chrI.g217.t1	Nippo_chrI.g217
Nippo_chrI.g217.t2	Nippo_chrI.g217
Nippo_chrI.g218.t2	Nippo_chrI.g218
Nippo_chrI.g218.t3	Nippo_chrI.g218
Nippo_chrI.g218.t1	Nippo_chrI.g218
Nippo_chrI.g218.t4	Nippo_chrI.g218
Nippo_chrI.g218.t5	Nippo_chrI.g218
Nippo_chrI.g219.t1	Nippo_chrI.g219
Nippo_chrI.g220.t1	Nippo_chrI.g220
Nippo_chrI.g220.t2	Nippo_chrI.g220
Nippo_chrI.g221.t1	Nippo_chrI.g221
Nippo_chrI.g222.t3	Nippo_chrI.g222
Nippo_chrI.g222.t1	Nippo_chrI.g222
Nippo_chrI.g222.t2	Nippo_chrI.g222
Nippo_chrI.g223.t1	Nippo_chrI.g223
Nippo_chrI.g223.t2	Nippo_chrI.g223
Nippo_chrI.g224.t1	Nippo_chrI.g224
Nippo_chrI.g224.t2	Nippo_chrI.g224
Nippo_chrI.g225.t1	Nippo_chrI.g225
Nippo_chrI.g226.t2	Nippo_chrI.g226
Nippo_chrI.g226.t1	Nippo_chrI.g226
Nippo_chrI.g227.t1	Nippo_chrI.g227
Nippo_chrI.g228.t1	Nippo_chrI.g228
Nippo_chrI.g229.t1	Nippo_chrI.g229
Nippo_chrI.g230.t1	Nippo_chrI.g230
Nippo_chrI.g231.t1	Nippo_chrI.g231
Nippo_chrI.g232.t1	Nippo_chrI.g232
Nippo_chrI.g233.t1	Nippo_chrI.g233
Nippo_chrI.g234.t1	Nippo_chrI.g234
Nippo_chrI.g232.t2	Nippo_chrI.g232
Nippo_chrI.g235.t1	Nippo_chrI.g235
Nippo_chrI.g236.t1	Nippo_chrI.g236
Nippo_chrI.g236.t2	Nippo_chrI.g236
Nippo_chrI.g237.t1	Nippo_chrI.g237
Nippo_chrI.g237.t2	Nippo_chrI.g237
Nippo_chrI.g237.t3	Nippo_chrI.g237
Nippo_chrI.g238.t2	Nippo_chrI.g238
Nippo_chrI.g238.t1	Nippo_chrI.g238
Nippo_chrI.g239.t3	Nippo_chrI.g239
Nippo_chrI.g239.t1	Nippo_chrI.g239
Nippo_chrI.g239.t2	Nippo_chrI.g239
Nippo_chrI.g240.t2	Nippo_chrI.g240
Nippo_chrI.g240.t1	Nippo_chrI.g240
Nippo_chrI.g241.t1	Nippo_chrI.g241
Nippo_chrI.g242.t1	Nippo_chrI.g242
Nippo_chrI.g243.t1	Nippo_chrI.g243
Nippo_chrI.g243.t2	Nippo_chrI.g243
Nippo_chrI.g244.t1	Nippo_chrI.g244
Nippo_chrI.g244.t2	Nippo_chrI.g244
Nippo_chrI.g245.t1	Nippo_chrI.g245
Nippo_chrI.g245.t2	Nippo_chrI.g245
Nippo_chrI.g246.t1	Nippo_chrI.g246
Nippo_chrI.g246.t2	Nippo_chrI.g246
Nippo_chrI.g247.t2	Nippo_chrI.g247
Nippo_chrI.g247.t1	Nippo_chrI.g247
Nippo_chrI.g248.t1	Nippo_chrI.g248
Nippo_chrI.g249.t1	Nippo_chrI.g249
Nippo_chrI.g250.t1	Nippo_chrI.g250
Nippo_chrI.g251.t5	Nippo_chrI.g251
Nippo_chrI.g251.t1	Nippo_chrI.g251
Nippo_chrI.g251.t2	Nippo_chrI.g251
Nippo_chrI.g251.t3	Nippo_chrI.g251
Nippo_chrI.g251.t4	Nippo_chrI.g251
Nippo_chrI.g252.t1	Nippo_chrI.g252
Nippo_chrI.g253.t1	Nippo_chrI.g253
Nippo_chrI.g254.t1	Nippo_chrI.g254
Nippo_chrI.g254.t2	Nippo_chrI.g254
Nippo_chrI.g255.t1	Nippo_chrI.g255
Nippo_chrI.g256.t1	Nippo_chrI.g256
Nippo_chrI.g256.t2	Nippo_chrI.g256
Nippo_chrI.g257.t1	Nippo_chrI.g257
Nippo_chrI.g258.t1	Nippo_chrI.g258
Nippo_chrI.g259.t1	Nippo_chrI.g259
Nippo_chrI.g260.t1	Nippo_chrI.g260
Nippo_chrI.g261.t1	Nippo_chrI.g261
Nippo_chrI.g261.t2	Nippo_chrI.g261
Nippo_chrI.g262.t1	Nippo_chrI.g262
Nippo_chrI.g263.t1	Nippo_chrI.g263
Nippo_chrI.g264.t2	Nippo_chrI.g264
Nippo_chrI.g264.t1	Nippo_chrI.g264
Nippo_chrI.g265.t1	Nippo_chrI.g265
Nippo_chrI.g265.t2	Nippo_chrI.g265
Nippo_chrI.g266.t1	Nippo_chrI.g266
Nippo_chrI.g266.t2	Nippo_chrI.g266
Nippo_chrI.g266.t3	Nippo_chrI.g266
Nippo_chrI.g267.t1	Nippo_chrI.g267
Nippo_chrI.g267.t2	Nippo_chrI.g267
Nippo_chrI.g268.t1	Nippo_chrI.g268
Nippo_chrI.g268.t2	Nippo_chrI.g268
Nippo_chrI.g268.t3	Nippo_chrI.g268
Nippo_chrI.g269.t1	Nippo_chrI.g269
Nippo_chrI.g269.t2	Nippo_chrI.g269
Nippo_chrI.g270.t3	Nippo_chrI.g270
Nippo_chrI.g270.t1	Nippo_chrI.g270
Nippo_chrI.g270.t2	Nippo_chrI.g270
Nippo_chrI.g271.t1	Nippo_chrI.g271
Nippo_chrI.g272.t1	Nippo_chrI.g272
Nippo_chrI.g273.t1	Nippo_chrI.g273
Nippo_chrI.g273.t2	Nippo_chrI.g273
Nippo_chrI.g274.t1	Nippo_chrI.g274
Nippo_chrI.g274.t2	Nippo_chrI.g274
Nippo_chrI.g275.t1	Nippo_chrI.g275
Nippo_chrI.g276.t1	Nippo_chrI.g276
Nippo_chrI.g277.t1	Nippo_chrI.g277
Nippo_chrI.g278.t1	Nippo_chrI.g278
Nippo_chrI.g279.t1	Nippo_chrI.g279
Nippo_chrI.g279.t2	Nippo_chrI.g279
Nippo_chrI.g280.t1	Nippo_chrI.g280
Nippo_chrI.g280.t3	Nippo_chrI.g280
Nippo_chrI.g280.t2	Nippo_chrI.g280
Nippo_chrI.g280.t4	Nippo_chrI.g280
Nippo_chrI.g281.t2	Nippo_chrI.g281
Nippo_chrI.g281.t1	Nippo_chrI.g281
Nippo_chrI.g282.t2	Nippo_chrI.g282
Nippo_chrI.g282.t1	Nippo_chrI.g282
Nippo_chrI.g283.t1	Nippo_chrI.g283
Nippo_chrI.g283.t2	Nippo_chrI.g283
Nippo_chrI.g284.t1	Nippo_chrI.g284
Nippo_chrI.g284.t2	Nippo_chrI.g284
Nippo_chrI.g283.t3	Nippo_chrI.g283
Nippo_chrI.g283.t4	Nippo_chrI.g283
Nippo_chrI.g285.t1	Nippo_chrI.g285
Nippo_chrI.g285.t2	Nippo_chrI.g285
Nippo_chrI.g286.t1	Nippo_chrI.g286
Nippo_chrI.g285.t3	Nippo_chrI.g285
Nippo_chrI.g287.t2	Nippo_chrI.g287
Nippo_chrI.g287.t1	Nippo_chrI.g287
Nippo_chrI.g288.t1	Nippo_chrI.g288
Nippo_chrI.g288.t2	Nippo_chrI.g288
Nippo_chrI.g289.t1	Nippo_chrI.g289
Nippo_chrI.g289.t5	Nippo_chrI.g289
Nippo_chrI.g289.t2	Nippo_chrI.g289
Nippo_chrI.g289.t3	Nippo_chrI.g289
Nippo_chrI.g289.t4	Nippo_chrI.g289
Nippo_chrI.g290.t1	Nippo_chrI.g290
Nippo_chrI.g291.t1	Nippo_chrI.g291
Nippo_chrI.g292.t1	Nippo_chrI.g292
Nippo_chrI.g293.t1	Nippo_chrI.g293
Nippo_chrI.g293.t2	Nippo_chrI.g293
Nippo_chrI.g293.t3	Nippo_chrI.g293
Nippo_chrI.g294.t1	Nippo_chrI.g294
Nippo_chrI.g295.t1	Nippo_chrI.g295
Nippo_chrI.g295.t5	Nippo_chrI.g295
Nippo_chrI.g295.t2	Nippo_chrI.g295
Nippo_chrI.g295.t3	Nippo_chrI.g295
Nippo_chrI.g295.t4	Nippo_chrI.g295
